,EOS_Ti6Al4V,MW_718,MW_Copper,MW_SS17-4,MW_Ti6Al4V,PA_SS17-4,SG_Copper,Sulzer_718,V_6061,MW_6061
numSats,76.0,78.0,54.0,43.0,59.0,62.0,40.0,36.0,74.0,103.0
avgArea,180.78947368421052,159.1153846153846,214.94444444444446,226.1860465116279,190.01694915254237,283.7741935483871,192.625,108.11111111111111,201.71621621621622,274.18446601941747
minArea,10.0,6.0,10.0,7.0,9.0,15.0,24.0,14.0,6.0,6.0
maxArea,1154.0,1078.0,940.0,1089.0,1143.0,2442.0,1107.0,456.0,1969.0,1422.0
stdDevArea,190.84516428587324,193.8784962335306,236.84667775890819,258.7457453476921,200.53043993330508,424.90083926134434,224.67929227011555,104.72709979799289,297.4850675457678,293.0997625837603
avgPerimeter,43.18936971650703,40.097503870386284,46.10278577778599,47.1447565161079,44.61899991099866,51.39430594103586,44.9866531214808,33.85000199409723,43.071274992546535,53.671829227878106
minPerimeter,8.82842712474619,6.0,10.0,6.0,8.0,11.414213562373096,16.0,11.414213562373096,6.414213562373095,5.0
maxPerimeter,124.66904755831214,125.25483399593904,113.7401153701776,130.46803743153546,124.42640687119285,183.19595949289334,121.7401153701776,81.35533905932739,162.12489168102786,138.5685424949238
stdDevPerimeter,23.47594721571626,23.208640122777627,27.159300429164215,30.851253865349307,23.505535494691866,35.48346232943641,23.87882868246388,16.933874930101407,29.123736294069193,29.52733996790855
avgEccentricity,0.5719908171359428,0.6024226179453613,0.5716273445944897,0.6124616050271946,0.5701384279747891,0.5917109965717867,0.5852491118307028,0.6114895557071163,0.618306692741432,0.5711680484530899
minEccentricity,0.22596257619724222,0.0,0.14649112851955215,0.2766699006492955,0.0,0.1980344991907217,0.19656903493318836,0.316594982120763,0.0,0.0
maxEccentricity,0.9279725872019278,0.9002242720823084,0.9354143466934853,0.9614092233077123,0.9103928087251936,0.8892859228138168,0.9399754105291042,0.8739556096729387,0.9323354633378729,0.9252741613028527
stdDevEccentricity,0.17019449068074474,0.18107652889900722,0.1836111039729594,0.15524778709082923,0.184586524656169,0.17358634146813529,0.17323943590479549,0.16106644710243956,0.17928502000892818,0.15393868624454934
avgMinor,12.225782161364394,11.128999922936282,13.09917554132502,12.934607626679124,12.579685551838748,14.252166597949095,12.514490585134842,9.424198114281591,11.91655501875641,15.091122701178765
minMinor,2.6832815729997477,2.0,2.0,1.5606183863895253,3.198667157092813,3.8822265290481934,4.47213595499958,3.1458514520977277,1.8856180831641272,1.65500979239906
maxMinor,37.6290104853667,33.297192837717944,33.81285378158438,31.393681306888496,37.68048303871789,54.270550192868505,37.28734375386397,22.799594364770027,49.08780610778323,41.60995142284093
stdDevMinor,6.713335231048545,6.410412056021288,7.980965566371242,7.950636208952059,6.705137518936445,9.898924766629781,6.953605266633212,4.52301009281491,8.147467093108586,8.352472700367775
avgMajor,15.267416457809167,14.506219181564335,16.154972211121304,16.739092216187363,15.754506923629517,17.988263236980945,15.932471894719095,12.411690931514238,15.521820823254318,18.57000610006835
minMajor,4.381780460041329,3.265986323710904,4.20883424647321,3.4641016151377544,3.265986323710904,4.618802153517006,6.831300510639732,4.618802153517006,3.8297084310253524,3.265986323710904
maxMajor,39.16177149532913,43.06504478634386,36.232209374300766,45.03428707203566,38.899514198626925,57.656285426107594,38.02929581150192,30.188654481370527,51.11607977851558,45.381445142144976
stdDevMajor,7.48597476845496,7.642873948716545,8.545541218081942,10.038056662711949,7.5161273089714244,11.439077110490183,7.59776632686074,5.711839437328049,9.495689517278157,9.277054585735451
avgDiamter,13.493092079361233,12.513718955662647,14.380254585317115,14.546799946084185,13.92137723049531,15.831327218005583,13.937280946780024,10.655285373234745,13.461698887693181,16.568179027361992
minDiameter,3.5682482323055424,2.763953195770684,3.5682482323055424,2.985410660720923,3.385137501286538,4.370193722368317,5.527906391541368,4.222008245644752,2.763953195770684,2.763953195770684
maxDiameter,38.33168969174693,37.04797199880859,34.595450164018,37.23651251415192,38.14856222234714,55.76065788926156,37.542991037233904,24.095585330081406,50.070037583204744,42.55051859394197
stdDevDiamater,6.937202123657128,6.782244301611519,8.178266604193269,8.73954405072236,6.937748182025227,10.52053247310097,7.142126232091755,4.9108283931383125,8.695730352185201,8.637010385851063
