,MW_CuOFE_500_01,MW_CuOFE_500_03,MW_CuOFE_500_05,MW_CuOFE_500_07,MW_CuOFE_500_09,MW_CuOFE_500_11
avgArea,114.80357142857143,129.8235294117647,97.92222222222222,111.9047619047619,118.18279569892474,104.68354430379746
minArea,8.0,10.0,11.0,9.0,8.0,10.0
maxArea,459.0,793.0,706.0,1080.0,1723.0,533.0
stdDevArea,116.2743706624946,149.9441995402908,110.07353378313141,155.90729991825415,217.58122676749122,85.51031387992313
avgPerimeter,33.415955463633075,35.14573199519306,30.918208263944564,33.18314178284611,32.268884689496325,33.387973304345635
minPerimeter,7.414213562373095,8.207106781186548,9.414213562373096,8.0,7.414213562373095,8.207106781186548
maxPerimeter,77.4558441227157,103.35533905932736,99.25483399593904,119.25483399593904,156.2253967444162,83.94112549695427
stdDevPerimeter,18.508554406851566,20.614752116771356,17.253242486563433,19.164171058219132,22.169918971525462,14.22051752466804
avgEccentricity,0.5188203113738806,0.47636837518858466,0.5525615015456944,0.5475277805596053,0.5702415471687978,0.5100140751604176
minEccentricity,0.2529296866190848,0.0,0.0,0.0,0.06559826006566913,0.0
maxEccentricity,0.8944271909999159,0.828120228558902,0.8676280691415752,0.9561828874675149,0.9128709291752769,0.8165399631383786
stdDevEccentricity,0.14470877177719466,0.18763407088787462,0.19286148980242657,0.19269628674421843,0.1800664602697719,0.1642933414588336
avgMinor,10.007337346019913,10.596748224756599,9.039299251357104,9.639077879864205,9.394144936527022,9.980637246108484
minMinor,2.0,3.067356324605907,3.067356324605907,2.0,2.0,3.067356324605907
maxMinor,23.07820898641709,30.844456351244112,29.41579201152409,36.745734767493,40.699528160808995,24.79255937809183
stdDevMinor,5.303793783076774,6.012116907909825,4.926591329925539,5.562827840388527,6.272751713077616,4.164598955626231
avgMajor,11.77365223596542,12.204536132210523,11.149569901550931,11.847906308108081,11.663756767820162,11.756277538531522
minMajor,3.4641016151377544,4.098780306383839,4.296689244236598,3.265986323710904,3.4641016151377544,4.098780306383839
maxMajor,27.440119424951455,32.93814492207436,31.056076908236733,37.69962507579111,54.275234753510915,27.427505616703584
stdDevMajor,5.883302012536351,6.443178471427912,5.454885234270284,5.927982419011315,7.086614847938819,4.415239593326848
avgDiamter,10.770411432173928,11.280198192762336,9.945676088780292,10.545608565253929,10.35526711227211,10.744137323805699
minDiameter,3.1915382432114616,3.5682482323055424,3.742410318509555,3.385137501286538,3.1915382432114616,3.5682482323055424
maxDiameter,24.17471718621419,31.775445850136926,29.98177977677484,37.0823233942262,46.837930521946475,26.05065598682386
stdDevDiamater,5.492784776539332,6.168758401505816,5.075625358390979,5.592111237248308,6.575975366797178,4.225013781969896
